ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
8.72173E+15,2.0637E+16,2.86081E+16,6.32544E+15,3.77405E+16,5.06938E+16,1.35538E+16,4.23815E+16,2.55503E+16,0
,1.9798E+15,1.71533E+16,7.6592E+15,3.2928E+15,5.75115E+15,1.1871E+16,6.91098E+15,4.38392E+15,0
,1.99108E+15,2.97219E+16,6.86969E+15,3.57303E+16,4.2071E+16,9.22662E+15,5.52943E+15,3.35516E+15,0
6.09965E+15,2.3792E+15,2.04168E+15,8.45783E+15,,2.91105E+15,1.92701E+15,9.3138E+15,3.17279E+16,0
9.02679E+15,2.53217E+16,2.79651E+15,6.58837E+15,3.73553E+15,5.8832E+15,1.61457E+16,5.91245E+15,2.01904E+16,0
6.95337E+15,2.03147E+15,1.16091E+16,5.49574E+15,3.04283E+15,5.51143E+15,9.38778E+15,5.5958E+15,3.65187E+15,0
6.14088E+15,1.97876E+16,2.66879E+15,7.5872E+15,3.29232E+16,5.48073E+15,1.58363E+16,4.12636E+15,5.35946E+15,0
7.07787E+15,2.20671E+16,2.38734E+16,6.18184E+15,3.41987E+16,3.33051E+15,1.06618E+16,9.02978E+15,4.76451E+15,0
5.48831E+15,1.35802E+16,2.14852E+16,818741579072919,2.80603E+15,4.41331E+15,1.48603E+15,8.82873E+15,5.06679E+15,0
7.20556E+15,1.20328E+16,2.46279E+16,6.20247E+15,2.89769E+15,4.18433E+15,1.36431E+16,6.37337E+15,3.71005E+15,0
9.17787E+15,1.63275E+15,2.08683E+16,7.72604E+15,3.20421E+15,4.26994E+15,1.02143E+16,6.24309E+16,3.10877E+16,0
4.27072E+15,1.66838E+16,2.44053E+16,7.39151E+16,2.97207E+16,3.49519E+15,1.34785E+16,5.44748E+15,3.76391E+15,0
7.34884E+15,2.23265E+16,1.1519E+16,8.88956E+15,,4.94158E+15,1.81454E+16,7.37155E+15,4.88088E+15,0
8.52617E+15,1.75613E+16,1.18371E+15,7.48371E+15,3.08399E+16,474240482290634,2.18459E+16,5.23722E+15,5.08301E+15,0
,1.69042E+16,361528208993245,8.33039E+15,3.2904E+16,5.90749E+15,1.76951E+16,1.0315E+16,3.99597E+15,0
2.61204E+15,1.88804E+16,3.47983E+15,679643915408815,,4.6808E+15,1.31708E+16,4.95238E+16,4.76521E+15,0
8.49057E+15,2.04124E+16,2.29898E+16,827079293672615,3.58847E+16,4.35001E+15,1.70842E+16,6.24216E+15,3.87556E+16,0
,2.13542E+16,2.25397E+15,6.9572E+16,3.34041E+15,4.63399E+16,1.1623E+16,6.96158E+15,3.39859E+16,0
8.8584E+15,2.54618E+16,9.6243E+15,7.95402E+15,3.48408E+16,3.44303E+16,7.93547E+15,7.81085E+15,5.52573E+15,0
609815652147278,189995845993418,2.77769E+16,6.4431E+16,3.4793E+15,2.4586E+16,1.46369E+15,7.34246E+15,3.97736E+16,0
841997068212899,18571898879367,1.3238E+16,3.99827E+15,3.08143E+15,4.63647E+16,1.72096E+15,4.87831E+15,3.96248E+15,0
9.28616E+15,2.22662E+15,1.23113E+16,7.28987E+15,3.32239E+15,3.5374E+16,1.41718E+16,,5.23998E+15,0
7.8759E+15,2.26285E+16,1.27102E+16,7.30313E+16,3.46403E+15,4.45374E+15,6.06346E+15,6.3128E+15,4.23859E+15,0
7.72533E+16,2.52265E+16,3.64777E+16,838676100823379,4.26544E+15,3.39411E+16,1.74858E+16,6.04839E+15,3.72484E+16,0
3.38809E+15,2.12029E+15,2.02301E+16,8.56978E+15,3.49156E+16,3.53913E+15,1.82083E+16,8.23879E+15,2.7986E+15,0
6.74531E+15,2.18425E+16,2.18718E+16,7.16551E+15,,3.7305E+16,1.68266E+16,7.40861E+15,3.90235E+16,0
,1.90424E+16,2.80626E+16,9.61515E+15,3.57227E+15,2.63772E+16,1.34452E+15,6.70556E+15,5.62902E+16,0
7.18383E+15,2.61851E+16,1.4101E+16,9.0085E+15,3.58725E+15,2.90424E+15,1.71499E+15,8.20251E+15,4.59717E+15,0
1.0112E+16,2.40432E+15,1.53313E+16,5.39265E+15,3.61903E+16,4.03042E+15,1.61311E+15,6.11111E+15,3.42576E+15,0
7.39741E+15,1.22541E+16,8.85511E+15,6.88869E+15,2.41608E+16,4.89852E+16,1.33659E+16,,3.14916E+15,0
7.8128E+15,1.96584E+16,4.25508E+16,7.33465E+15,,4.42546E+16,1.46669E+16,,6.20485E+15,0
6.87746E+15,1.36879E+16,2.74336E+16,7.09152E+15,3.07397E+15,3.42196E+15,1.84038E+16,8.11934E+15,3.82765E+16,0
,1.4697E+15,1.63675E+16,7.68704E+15,,4.68945E+16,1.86014E+15,4.9562E+15,4.66435E+15,0
,2.30809E+16,2.74188E+16,7.1365E+15,3.6931E+15,2.74661E+16,9.57858E+15,7.23769E+15,4.1976E+15,0
7.52105E+15,2.6706E+16,2.68654E+15,1.04495E+16,,5.05709E+16,1.62377E+16,5.70378E+15,2.88079E+16,0
8.55088E+15,2.31249E+15,2.89184E+16,7.82253E+15,369264222748674,4.32285E+16,1.62663E+16,7.31495E+15,3.77289E+16,0
1.03085E+16,2.1722E+15,2.76532E+16,8.91227E+15,3.69531E+15,3.82952E+15,6.5804E+15,5.9576E+15,3.28508E+15,0
,2.5267E+16,2.93687E+16,9.90615E+15,4.33952E+15,4.65217E+15,1.3221E+16,8.41986E+15,5.05274E+15,0
7.37109E+15,2.07717E+16,2.49138E+16,9.61633E+15,3.623E+15,3.63169E+16,1.15427E+16,6.77207E+15,4.41259E+16,0
1.11807E+16,2.28301E+16,1.66004E+16,6.094E+16,,5.04051E+15,1.5035E+16,1.10739E+16,3.80984E+16,0
6.50649E+15,2.02286E+16,1.70871E+16,6.20198E+15,3.26662E+16,48177193425228,1.65352E+16,4.62057E+15,3.54878E+16,0
6.64394E+15,1.5189E+15,1.09092E+16,3.74963E+16,2.40937E+16,4.37909E+15,1.52647E+16,6.4204E+15,3.81295E+16,0
5.03377E+15,1.55321E+16,3.49718E+15,7.12148E+15,3.20115E+15,5.00637E+15,1.83125E+16,6.31933E+15,3.24495E+16,0
691260756198984,1.5574E+15,1.79732E+16,4.9163E+15,2.75908E+15,4.39648E+15,1.83807E+16,555074684684337,2.61225E+16,0
7.97764E+15,2.45895E+16,3.21701E+15,963563608296433,3.99583E+15,4.73662E+15,1.17283E+16,2.3817E+15,3.55213E+15,0
6.07834E+15,1.97502E+16,3.59578E+15,8.13047E+15,3.79528E+15,3.6006E+16,2.00984E+15,4.1866E+15,420158090550856,0
6.24241E+15,1.91909E+16,2.81494E+16,7.13044E+15,3.19307E+15,4.48243E+15,1.93701E+16,6.09395E+15,4.50871E+16,0
6.06335E+15,1.60767E+16,1.47751E+15,7.4841E+15,3.05829E+16,3.2727E+16,1.2309E+16,6.90385E+15,3.46734E+16,0
8.12959E+15,1.77899E+16,2.78342E+15,900600774687328,3.34439E+15,3.97021E+15,1.59363E+16,8.13908E+15,3.36254E+16,0
9.56241E+15,2.02014E+16,1.30418E+16,5.82066E+15,3.27119E+15,4.33382E+16,1.41391E+16,6.3549E+15,3.76272E+16,0
8.16779E+15,2.00914E+16,2.71414E+16,7.26242E+15,3.44161E+16,5.25599E+15,1.61423E+16,6.62314E+15,4.2894E+15,0
8.59442E+15,2.70023E+16,1.57917E+16,591269062429658,,6.72557E+15,2.01841E+15,5.49613E+16,3.56899E+15,0
,1.67386E+16,2.09446E+16,4.96312E+15,,5.66339E+15,1.13188E+15,,3.6798E+16,0
6.82547E+15,1.87052E+16,4.61401E+15,6.13776E+15,3.52702E+15,3.73427E+15,1.26064E+16,587522013156628,3.02745E+15,0
7.86118E+15,2.04274E+16,2.5145E+16,7.92332E+15,3.38214E+15,4.69487E+16,1.59934E+16,8.61673E+15,4.15766E+15,0
4.96577E+15,2.20849E+16,2.18027E+15,6.25058E+15,3.11598E+15,3.86413E+15,1.80352E+16,5.39082E+15,3.42177E+16,0
6.20743E+15,1.92937E+16,1.34426E+16,5.81902E+15,3.25907E+16,5.33796E+15,1.46875E+15,6.0485E+15,3.5493E+15,0
,1.57001E+16,2.00671E+16,8.07105E+15,,4.9091E+15,1.73229E+15,7.19693E+15,4.41756E+15,0
976925100608684,2.64266E+15,847167738143048,8.34971E+15,3.59269E+16,353196475487524,1.50471E+16,5.26455E+16,4.63656E+15,0
9.63067E+15,1.52862E+15,2.36417E+15,6.92571E+15,3.33148E+16,417167072927369,1.66702E+15,8.99976E+15,4.92009E+15,0
5.18747E+15,1.04752E+16,2.00601E+16,6.91391E+15,,368815428587841,1.51403E+16,9.86566E+15,3.20326E+16,0
7.63357E+15,1.99653E+16,1.63122E+16,9.90055E+15,3.58566E+16,4.20534E+16,1.05394E+16,1.00243E+16,2.92707E+16,0
5.7712E+15,1.55051E+16,2.49094E+15,6.53126E+15,2.97009E+15,3.13702E+15,1.17048E+16,8.56883E+15,4.68896E+15,0
6.57997E+15,1.97227E+15,1.76571E+15,4.50629E+15,2.9029E+15,2.54393E+16,9.84766E+15,7.37497E+15,4.57593E+15,0
480115436807586,1.80773E+16,1.35567E+16,8.97729E+15,3.22062E+16,5.87395E+15,1.24014E+16,6.20282E+15,4.41864E+15,0
7.94882E+15,2.38236E+15,1.91295E+16,5.85196E+15,,434655458610077,8.66329E+15,6.7304E+15,3.69225E+16,0
6.90699E+15,2.16785E+16,1.99912E+15,7.30235E+15,3.40106E+16,3.56459E+15,9.61411E+15,6.11226E+15,2.12476E+16,0
,2.81269E+15,2.24521E+16,6.7737E+15,343635821280367,3.95342E+15,1.49031E+16,6.71252E+15,4.44435E+15,0
,1.90779E+16,1.22243E+16,4.64621E+15,3.08565E+16,3.99271E+16,1.18768E+16,6.18866E+15,3.46317E+16,0
846133087400179,2.12581E+16,3.44068E+15,8.67915E+15,3.84855E+16,477343368601036,1.38017E+16,,3.77194E+15,0
7.72613E+15,2.33948E+16,2.16679E+16,6.31318E+15,3.40273E+16,4.72259E+16,1.43999E+15,3.6578E+15,3.72064E+16,0
,2.47662E+16,1.95495E+16,8.76967E+15,,4.38866E+15,1.66247E+16,6.4949E+15,3.77774E+15,0
8.92708E+15,2.41875E+16,2.28213E+16,854973827385147,3.67976E+16,3.80197E+15,1.08593E+16,758570678201616,460186095914794,0
6.20802E+15,1.53221E+15,1.73588E+16,821493885317026,3.28282E+15,4.81196E+16,1.42741E+15,6.27182E+15,4.33462E+15,0
6.12843E+15,1.41492E+15,9.61583E+15,762791913004187,2.77952E+15,4.15009E+15,1.64358E+16,5.06939E+15,4.63382E+15,0
,2.02255E+15,1.19817E+16,9.18911E+15,3.39984E+15,4.16589E+15,1.40792E+16,6.27655E+16,2.67891E+16,0
7.30805E+15,2.74705E+15,1.46005E+16,8.1058E+15,3.84565E+16,4.15607E+15,1.67616E+16,689372269462471,3.69612E+15,0
,1.70099E+16,3.99062E+15,6.555E+15,,5.15387E+15,1.35161E+15,4.05142E+15,4.35324E+16,0
8.64089E+15,2.01569E+16,2.64737E+16,6.96709E+15,3.52307E+15,3.09983E+15,1.76651E+16,6.86649E+15,5.2631E+16,0
,2.05509E+16,2.04069E+15,6.81007E+15,3.55266E+15,4.8233E+16,1.23378E+15,7.05806E+15,4.10253E+16,0
8.15321E+15,1.27145E+16,1.02809E+15,5.82836E+15,2.67637E+15,4.87908E+16,1.19435E+16,9.06194E+15,2.90579E+15,0
8.29372E+15,2.0616E+15,3.52164E+16,6.441E+15,3.47062E+16,3.99484E+15,1.60657E+16,7.99545E+15,3.95472E+16,0
,2.3385E+16,2.11363E+16,6.68988E+15,,3.32738E+16,9.74528E+15,7.75299E+15,3.31086E+16,0
,237677383112304,2.60091E+15,7.07453E+15,3.726E+15,3.44768E+16,1.44422E+15,7.26962E+15,3.7066E+16,0
9.48997E+15,2.3407E+16,1.55137E+16,4.73533E+15,,2.7797E+16,1.66982E+15,8.14272E+15,4.21997E+15,0
783097634338162,1.90799E+16,7.69506E+15,4.84521E+16,2.92516E+15,5.07445E+15,1.55267E+16,8.50095E+15,4.58878E+15,0
4.43028E+15,1.39686E+16,2.88623E+16,896137237710277,2.98379E+16,4.34781E+15,172992944626111,6.30425E+15,4.38457E+15,0
7.24074E+15,201186804455864,2.37831E+15,7.75129E+15,3.40984E+15,5.7922E+15,1.34864E+16,6.26502E+15,3.5563E+15,0
,260205359611888,1.95177E+16,8.76417E+15,3.68821E+16,2.51021E+16,1.28046E+16,4.86519E+15,3.66552E+16,0
6.8673E+15,1.74185E+15,2.41122E+16,5.52994E+15,2.97656E+15,4.84123E+16,1.14827E+15,6.53044E+15,3.8236E+16,0
6.12964E+15,2.00278E+15,3.09899E+15,8.8301E+15,3.48868E+15,3.41389E+16,9.30012E+15,7.95536E+15,4.61589E+15,0
7.91705E+15,2.78056E+15,2.71923E+15,9.22013E+15,4.24788E+15,358781736184615,1.50543E+16,5.68396E+15,3.65948E+16,0
6.51162E+15,1.81873E+16,2.91368E+16,7.68578E+15,3.45752E+16,4.75341E+15,1.23212E+16,5.24376E+15,4.85043E+15,0
532381558430839,2.32369E+16,3.76258E+15,8.87982E+15,3.80576E+16,5.80898E+15,1.22938E+16,5.531E+15,2.88072E+16,0
6.76957E+15,1.68937E+16,1.10672E+16,7.12126E+15,3.05795E+16,2.89542E+15,1.85459E+16,6.20016E+15,5.22054E+15,0
5.87797E+15,1.41615E+16,1.36523E+16,5.70166E+15,2.79782E+15,5.38495E+15,1.2034E+15,6.79073E+15,4.03226E+16,0
9.53402E+15,2.01955E+15,9.47261E+15,6.10571E+16,3.19576E+15,2.59637E+16,1.56256E+15,,2.76824E+16,0
6.34003E+15,2.25028E+16,4.52225E+15,5.80903E+15,3.63006E+15,4.355E+15,1.13859E+16,8.06703E+15,3.686E+16,0
8.66159E+15,2.84098E+16,2.70885E+16,7.89786E+16,,5.12277E+15,1.69121E+16,7.24658E+15,3.67043E+16,0
5.65351E+15,1.4659E+16,1.64625E+16,6.5016E+15,2.99645E+15,272440558304258,1.37953E+15,8.78226E+15,5.19899E+15,0
6.62601E+16,1.12299E+16,2.58399E+16,7.65875E+15,3.12247E+15,3.27248E+16,1.94091E+16,8.57851E+15,4.19431E+15,0
7.79383E+15,1.76866E+16,1.83447E+16,7.56768E+15,3.3823E+16,3.71217E+15,9.03904E+15,762880763113865,4.17294E+15,0
7.59313E+15,2.61566E+16,1.83711E+16,6.29754E+15,,3.8763E+15,1.6576E+15,5.18309E+15,3.37734E+16,0
7.36274E+15,185692181022348,1.62684E+15,5.31702E+16,3.16919E+15,4.19258E+16,1.60242E+16,6.46789E+15,4.40851E+15,0
932030544529501,1.29824E+16,1.60021E+16,4.40503E+15,2.71671E+16,4.99844E+15,1.30769E+16,8.28376E+15,420580973235456,0
3.71979E+16,2.48859E+15,2.35909E+15,7.68374E+15,3.51555E+15,4.27496E+15,2.03938E+16,3.86049E+15,2.7184E+16,0
6.65561E+15,2.16441E+16,2.05718E+16,8.98424E+15,,3.36831E+16,1.7746E+16,7.17043E+15,2.95164E+16,0
9.86888E+15,2.14166E+16,1.53269E+16,3.3516E+15,2.97084E+15,4.24293E+16,1.91884E+16,7.00705E+15,3.35549E+15,0
5.59061E+15,229192139486151,3.53707E+15,7.98964E+15,,4.69413E+15,1.32816E+15,7.69927E+15,4.72685E+15,0
5.55444E+15,2.29123E+15,3.13445E+16,7.76143E+15,,306872525988099,1.39748E+16,8.72734E+15,2.09591E+16,0
